task_id	company_key	normalized_company_name	country	city	task_name	task_type	assignee	must_ask	must_capture	due_date	returned_result	ai_processing_status	conclusion	status	created_at
local-paraguay-a-frigorifico-paraguay-2026-05-19	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	Asuncion	核实 A Frigorifico Paraguay 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-05-26		待处理		待处理	2026-05-19
local-brazil-c-subprodutos-bovinos-2026-05-19	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	Campo Grande	核实 C Subprodutos Bovinos 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-05-26		待处理		待处理	2026-05-19
local-paraguay-frigorifico-frigomerc-2026-06-02	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay		核实 FRIGORIFICO FRIGOMERC 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-uruguay-frigorifico-carrasco-2026-06-02	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay		核实 Frigorífico Carrasco 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigochorti-2026-06-02	paraguay:frigochorti	FRIGOCHORTI	Paraguay		核实 FRIGOCHORTI 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigorifico-belen-2026-06-02	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay		核实 FRIGORIFICO BELEN 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigorifico-concepcion-2026-06-02	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay		核实 FRIGORIFICO CONCEPCION 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigorifico-frigochaco-2026-06-02	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay		核实 FRIGORIFICO FRIGOCHACO 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigorifico-guarani-c-i-2026-06-02	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay		核实 FRIGORIFICO GUARANI C I 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
local-paraguay-frigorifico-lombardo-2026-06-02	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay		核实 FRIGORIFICO LOMBARDO 是否存在可开发 Omasum 货源	电话/拍照/询价		是否有 omaso/librillo/folhoso;每周屠宰或收集量;当前卖给谁;是否与 rumen/honeycomb 混装;是否能清洗盐腌分拣包装;是否允许现场看货;是否能发海防/香港/中国	公司门头照片;GPS 地址;负责人姓名和 WhatsApp;当前原料视频;清洗盐腌包装冷库视频;报价或本地销售价格;来源类型判断：源头/中间商/不确定	2026-06-09		待处理		待处理	2026-06-02
